,MJD,MAG,MAGERR,FLT,Vega,RMAG,MJD_S
1071,49080.53,11.63,0.1,R,1.0,11.07649889103442,7.529999999998836
1070,49080.2,11.65,0.1,R,1.0,10.955108111445012,7.19999999999709
1069,49080.2,11.57,0.1,R,1.0,11.01649889103442,7.19999999999709
1068,49080.16,11.510000000000002,0.1,R,1.0,10.956498891034421,7.1600000000034925
1066,49079.99,11.530000000000001,0.1,R,1.0,10.97649889103442,6.989999999997963
1065,49079.99,11.510000000000002,0.1,R,1.0,10.956498891034421,6.989999999997963
1064,49079.51,11.420000000000002,0.1,R,1.0,10.866498891034421,6.510000000002037
1062,49079.08,11.270000000000001,0.1,R,1.0,10.716498891034421,6.080000000001746
1067,49080.16,11.47,0.1,R,1.0,10.91649889103442,7.1600000000034925
1060,49078.5,11.190000000000001,0.1,R,1.0,10.636498891034421,5.5
1059,49077.98,11.040000000000001,0.1,R,1.0,10.345108111445013,4.980000000003201
1058,49077.98,11.030000000000001,0.1,R,1.0,10.47649889103442,4.980000000003201
1057,49077.2,10.940000000000001,0.1,R,1.0,10.386498891034421,4.19999999999709
1056,49077.2,10.91,0.1,R,1.0,10.35649889103442,4.19999999999709
1055,49077.16,10.91,0.1,R,1.0,10.35649889103442,4.1600000000034925
1054,49077.1,10.850000000000001,0.1,R,1.0,10.296498891034421,4.099999999998545
1053,49077.06,10.850000000000001,0.1,R,1.0,10.296498891034421,4.059999999997672
1052,49076.89,10.81,0.1,R,1.0,10.25649889103442,3.889999999999418
1051,49076.2,10.860000000000001,0.1,R,1.0,10.30649889103442,3.1999999999970896
1061,49078.9,11.260000000000002,0.1,R,1.0,10.706498891034421,5.900000000001455
1462,49079.2,11.549999999999999,0.1,I,1.0,10.75649889103442,6.19999999999709
1463,49079.51,11.389999999999999,0.1,I,1.0,10.59649889103442,6.510000000002037
1464,49079.99,11.479999999999999,0.1,I,1.0,10.68649889103442,6.989999999997963
1469,49080.53,11.59,0.1,I,1.0,10.796498891034421,7.529999999998836
1466,49080.16,11.479999999999999,0.1,I,1.0,10.68649889103442,7.1600000000034925
1467,49080.2,11.51,0.1,I,1.0,10.716498891034421,7.19999999999709
1468,49080.2,11.53,0.1,I,1.0,10.73649889103442,7.19999999999709
1461,49079.08,11.33,0.1,I,1.0,10.536498891034421,6.080000000001746
1465,49080.16,11.42,0.1,I,1.0,10.626498891034421,7.1600000000034925
1460,49078.9,11.29,0.1,I,1.0,10.49649889103442,5.900000000001455
1454,49077.2,11.02,0.1,I,1.0,10.22649889103442,4.19999999999709
1458,49078.5,11.19,0.1,I,1.0,10.39649889103442,5.5
1457,49077.98,11.139999999999999,0.1,I,1.0,10.34649889103442,4.980000000003201
1456,49077.98,11.11,0.1,I,1.0,10.31649889103442,4.980000000003201
1455,49077.2,11.059999999999999,0.1,I,1.0,10.26649889103442,4.19999999999709
1453,49077.16,11.04,0.1,I,1.0,10.24649889103442,4.1600000000034925
1452,49077.1,11.049999999999999,0.1,I,1.0,10.25649889103442,4.099999999998545
1451,49077.06,11.0,0.1,I,1.0,10.206498891034421,4.059999999997672
1450,49076.89,10.959999999999999,0.1,I,1.0,10.16649889103442,3.889999999999418
1449,49076.2,11.16,0.1,I,1.0,10.366498891034421,3.1999999999970896
1470,49080.9,11.62,0.1,I,1.0,10.82649889103442,7.900000000001455
1459,49078.9,11.27,0.1,I,1.0,10.47649889103442,5.900000000001455
1471,49080.9,11.639999999999999,0.1,I,1.0,10.84649889103442,7.900000000001455
